epoch,blocks,active_stake,active_size,delegators_count,rewards,fees,pool_id
283,0,79580033082,3.418805017825802e-06,17,0,0,pool1u2d3guvld9rk0586lyhk2n8kvkzmem7czwdltgem0mgczqd3ygu
283,0,65529356415,2.8151796857844064e-06,7,0,0,pool1esgq3g4ll90ylfqg4rvdft06cdppyqc8urancufle6yrgpp5grw
283,0,57390539906,2.4655313425691993e-06,7,0,0,pool1vr8yc6ds47hzfgqxu9tzxdwze6x82fetqdps7vvmcdav6rlzd3x
283,0,60405689281,2.5950639327620514e-06,3,0,0,pool1lssudmnyy4vlzrvpmw4539xwklnx0lm2murc9t7n25u9sg2ce3n
283,0,80006768357,3.4371378161792534e-06,5,0,0,pool16nnl8ymck6c20x86lfd5p9q3yp9w749cam26y985459ww6kjtz8
283,0,73294672274,3.148782221440506e-06,3,0,0,pool1r2249l40de8nlj77u77yzk8kxl3av4k09ztswcuqfexzcxwx3k8
283,0,52007521251,2.234273695694376e-06,21,0,0,pool13hc7e9axpm0c4us03rwcw996t8zyz5452p0hpa6ehpy2z6gnqae
283,0,76363553132,3.280623147739556e-06,7,0,0,pool1d63tmq02tgtk7yd6g62p9h44w4xqdgz9y8jkmcrztfmmqga540m
283,0,72669981396,3.1219451339754155e-06,29,0,0,pool1nux6acnlx0du7ss9fhg2phjlaqe87l4wcurln5r6f0k8xreluez
283,1,93032422192,3.996727564598603e-06,12,724093690,340000000,pool13fg83xz9t4yunpzjmcras7kqpyssl6247uqva53s6jntskmhvc7
283,0,62434273765,2.682213115093209e-06,6,0,0,pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3
283,0,51498021487,2.212385286224259e-06,1,0,0,pool1p8a3jea0k5w749jf0jtr7qeer8xth9r0zr8ktmp75heqx0ewyz7
283,0,79930617014,3.4338663097035734e-06,4,0,0,pool175gxtzacpcm90adjpvlhjmfpj4ft2a3zuqsgm558hf3q7ra2vf9
